ID,NAME,TYPE,COUNTRY,REGION,GRAPES,BODY,ACIDITY,PRICE,VINTAGE,DESCRIPTION,URL,IMAGE_URL
3911,"Pazo Señorans, Albariño, Rias Baixas, Spain (150cl.)",White Wine,Spain,Rias Baixas,Albariño ,3,4,47.95,2018,"Aromas of nectarine, fresh figs, orange zest and white flowers. Dry, citrus flavours and a mineral-driven finish, which expands and deepens on the tail end. Offering a satisfying balance of power and finesse",,https://www.alliancewine.com//images/products/BOTTLE_2451.png?mode=pad
3910,"Mount Edward, Morrison Vineyard Pinot Noir, Central Otago, New Zealand",Red Wine,New Zealand,Central Otago,Pinot Noir ,2,4,46.95,2017,TBC,,https://www.alliancewine.com//images/products/BOTTLE_4189.png?mode=pad
3909,"Mount Edward, Morrison Vineyard Pinot Noir, Central Otago, New Zealand",Red Wine,New Zealand,Central Otago,Pinot Noir ,2,4,46.95,2017,"Morrison vineyard grows a textural wine built around fine yet lean tannins and delicate fruits. The 2011 vintage displays perfumed aromatics of floral and herbal notes, a sinewy core of both red and dark fruits all over fine grained tannins. Delicate, supple and long in length, this is not a big concentrated style but a more elegant and restrained wine showing balance, power and finesse.",,https://www.alliancewine.com//images/products/BOTTLE_1244.png?mode=pad
3908,"Mount Edward, Muirkirk Vineyard Pinot Noir, Central Otago, New Zealand",Red Wine,New Zealand,Central Otago,Pinot Noir ,2,4,46.95,2016,"A soft and supple wine, lots of rich fruit with a good depth of flavour. Lovely acidity and fine tannins give the wine great length and structure whilst also making it very approachable on release.",,https://www.alliancewine.com//images/products/BOTTLE_1243.png?mode=pad
3907,"Thistledown, Where Eagles Dare Single Vineyard Shiraz, Eden Valley, Barossa, Australia",Red Wine,Australia,South Australia,Shiraz ,5,3,46.95,2019,"Intense, tightly coiled and vital, this wine is like a great orator. Beautifully complex, red and black bramble fruits support the naunces of spice and peppery notes. Every component measured and well timed, the tone lifts and falls, all the while building emotion and resonance. Tension and excitement builds and leads through to a memorable finish. Oh, and it tastes amazing!",,https://www.alliancewine.com//images/products/BOTTLE_3848.png?mode=pad
3906,"Thistledown, This Charming Man Single Vineyard Old Vine Grenache, Clarendon, Mclaren Vale, South Australia",Red Wine,Australia,South Australia,Grenache ,5,3,46.95,2019,"Right across South Australia, the 2019 vintage will be remembered as a very challenging one. Very dry conditions persisted throughout the growing season while some areas also had to contend with frost, hail and wind – all of which reduced the crop but helped increase concentration and quality. This wine displays muscular yet elegant silky black fruits couple with deep, rich, warming spices, hints of violet, mineral and black cherry.",,https://www.alliancewine.com//images/products/BOTTLE_3486.png?mode=pad
3905,"Thistledown, This Charming Man Single Vineyard Old Vine Grenache, Clarendon, Mclaren Vale, South Australia",Red Wine,Australia,South Australia,Grenache ,5,3,46.95,2018,"On a beautiful hillside in the Clarendon sub-region of McLaren Vale, three generations of the Smart family have devoted their lives to Grenache. Decades have passed where precious few valued their crop and yet they endured. That this remarkable vineyard has sustained is down to one man, Bernard Smart and this wine pays homage to this charming man. From a near perfect vintage for the site, this wine displays muscular yet elegant silky black fruits couple with deep, rich, warming spices, hints of violet, mineral and black cherry. ",,https://www.alliancewine.com//images/products/BOTTLE_3486.png?mode=pad
3904,"Thistledown, Sands of Time Single Vineyard Old Vine Grenache, Blewitt Springs, McLaren Vale, Australia",Red Wine,Australia,South Australia,Grenache ,5,3,46.95,2019,"Right across South Australia, the 2019 vintage will be remembered as a very challenging one. Very dry conditions persisted throughout the growing season while some areas also had to contend with frost, hail and wind – all of which reduced the crop but helped increase concentration and quality. A faithful expression of the site – beautiful, haunting aromatics, fine sandy tannins and wonderful, memorable length on the palate.",,https://www.alliancewine.com//images/products/BOTTLE_2875.png?mode=pad
3903,"Thistledown, Suilven Chardonnay, Adelaide Hills, South Australia, Australia",White Wine,Australia,South Australia,Chardonnay ,4,3,46.95,2019,"Refreshing white fruits, with a hint of spice and light oaking on the nose. Zippy acidity, white and stone fruits such as peach, and some minerality adding some texture.",,https://www.alliancewine.com//images/products/BOTTLE_2723.png?mode=pad
3902,"Thistledown, Suilven Chardonnay, Adelaide Hills, South Australia, Australia",White Wine,Australia,South Australia,Chardonnay ,4,3,46.95,2018,"Refreshing white fruits, with a hint of spice and light oaking on the nose. Zippy acidity, white and stone fruits such as peach, and some minerality adding some texture.",,https://www.alliancewine.com//images/products/BOTTLE_2723.png?mode=pad
3901,"Thistledown, Bachelor's Block Single Site Shiraz, Ebenezer, Barossa Valley, South Australia, Australia",Red Wine,Australia,South Australia,Shiraz ,5,3,46.95,2018,"A complex and savoury nose with hints of graphite, liquorice, spice and blackberry. The palate is well balanced with dense, smoky black fruits and beautifully polished, glossy tannins that provide a mouthfilling yet succulent, energetic finish.",,https://www.alliancewine.com//images/products/BOTTLE_2614.png?mode=pad
3900,"Thistledown, Bachelor's Block Single Site Shiraz, Ebenezer, Barossa Valley, South Australia, Australia",Red Wine,Australia,South Australia,Shiraz ,5,3,46.95,2017,"A complex and savoury nose with hints of graphite, liquorice, spice and blackberry. The palate is well balanced with dense, smoky black fruits and beautifully polished, glossy tannins that provide a mouthfilling yet succulent, energetic finish.",,https://www.alliancewine.com//images/products/BOTTLE_2614.png?mode=pad
3899,"St Tamás, Tokaji Aszú, 6 Puttonyos, Tokaji, Hungary (37.5cl.)",White Wine,Hungary,Tokaji,Furmint ,0,0,46.95,2009,"Rich, concentrated botytised dessert wine. Great complexity, fresh fruity character, touch of honey on the nose and refreshing acidity on the palate. Extremely long lingering finish.",,https://www.alliancewine.com//images/products/BOTTLE_1484.png?mode=pad
3898,"Cantalapiedra Viticultores, Majuelo La Otea, Pie Franco, Vino de la Tierra de Castilla y Léon, Spain",White Wine,Spain,Castilla y León,Verdejo ,4,4,46.95,2017,"A harmonious combination of baked apples, dried herbs and chamomile flower, with a struck-match minerality. It has a mighty savoury palate: umami, refreshing acidity and a nice bitter finish.",,https://www.alliancewine.com//images/products/BOTTLE_3912.png?mode=pad
3897,"Bodegas Luis Cañas, Rioja Reserva, DOCa Rioja, Spain (150cl.)",Red Wine,Spain,DOCa Rioja," Garnacha , Tempranillo ",4,4,46.95,2014,"Deep cherry red, clean and bright. Nose: Good aromatic intensity with notes of ripe red fruits over a base of elegant balsamic.  In the mouth is tasty, mellow, fresh and with fine nuances of sweet fruit. It has volume and the tannins are well integrated and polished. In the aftertaste, touches of very ripe fruit and nuances of liquor appear making it last in the palate.",,https://www.alliancewine.com//images/products/BOTTLE_7353.png?mode=pad
3896,"Bodegas Luis Cañas, Rioja Reserva, DOCa Rioja, Spain (150cl.)",Red Wine,Spain,DOCa Rioja," Garnacha , Tempranillo ",4,4,46.95,2013,"Deep cherry red, clean and bright. Nose: Good aromatic intensity with notes of ripe red fruits over a base of elegant balsamic.  In the mouth is tasty, mellow, fresh and with fine nuances of sweet fruit. It has volume and the tannins are well integrated and polished. In the aftertaste, touches of very ripe fruit and nuances of liquor appear making it last in the palate.",,https://www.alliancewine.com//images/products/BOTTLE_7353.png?mode=pad
3895,"Domaine Pillot, St-Aubin 1er Cru Blanc, Sentier du Clou, Burgundy, France",White Wine,France,Burgundy,Chardonnay ,0,0,45.95,2019,"This sensational St Aubin is beautifully balanced, delivering a poised and rounded palate with crunchy fruit and lively core acidity. It is clean with the pure fruit character of lemon and stone fruit shining through and on the finish a hint of spice. This is a serious wine with no shortage of minerality and will evolve and improve for a few years to come.",,https://www.alliancewine.com//images/products/BOTTLE_2363.png?mode=pad
3894,"Domaine Pillot, St-Aubin 1er Cru Blanc, Sentier du Clou, Burgundy, France",White Wine,France,Burgundy,Chardonnay ,0,0,45.95,2018,"This sensational St Aubin is beautifully balanced, delivering a poised and rounded palate with crunchy fruit and lively core acidity. It is clean with the pure fruit character of lemon and stone fruit shining through and on the finish a hint of spice. This is a serious wine with no shortage of minerality and will evolve and improve for a few years to come.",,https://www.alliancewine.com//images/products/BOTTLE_2363.png?mode=pad
3893,"ILatium Morini, Amarone della Valpolicella, DOCG, Campo Léon, Veneto, Italy",Red Wine,Italy,Veneto," Croatina/Oseleta ,  Rondinella , Corvina ",0,0,45.95,2015,"Garnet red with an orange hue. Intense and ample ripe black fruit, sour cherries, herby and earthy, really rich and pruney, raisined, intense, lovely balance, richness.",,https://www.alliancewine.com//images/products/BOTTLE_2892.png?mode=pad
3892,"Domaine des Baumard, Savennières, Clos du Papillon, Loire, France",White Wine,France,Loire,Chenin Blanc ,4,4,44.95,2006,"A dry white from 100% Chenin Grapes. Bone dry, full bodied and assertive.",,https://www.alliancewine.com//images/products/BOTTLE_1153.png?mode=pad
3891,"Cascina Adelaide, Barolo, DOCG, 4 Vigne, Piedmont, Italy",Red Wine,Italy,Piedmont,Nebbiolo ,4,3,43.95,2016,"Brilliant garnet colour, plum, wild blueberry, cinnamon and liquorice delight the nose. Gentle on the palate with elegantly fused tannins.",,https://www.alliancewine.com//images/products/BOTTLE_4223.png?mode=pad
3890,"Viña Cobos, Bramare Single Vineyard Chardonnay, Los Arbolitos Vineyard, Argentina",White Wine,Argentina,Mendoza,Chardonnay ,3,3,43.95,2019,"Yellow tones, with green flecks and gold highlights. In the nose, the wine displays herbs, such as thyme and white flowers, and subtle notes of peaches and tropical fruit. On the palate, the wine expresses a remarkable freshness and texture, with a long finish.",,https://www.alliancewine.com//images/products/BOTTLE_2409.png?mode=pad
3889,"Viña Cobos, Bramare Single Vineyard Chardonnay, Los Arbolitos Vineyard, Argentina",White Wine,Argentina,Mendoza,Chardonnay ,3,3,43.95,2018,"Yellow tones, with green flecks and gold highlights. In the nose, the wine displays herbs, such as thyme and white flowers, and subtle notes of peaches and tropical fruit. On the palate, the wine expresses a remarkable freshness and texture, with a long finish.",,https://www.alliancewine.com//images/products/BOTTLE_2409.png?mode=pad
3888,"Abel Mendoza, Selección Personal, DOCa Rioja, Spain",Red Wine,Spain,DOCa Rioja,Tempranillo ,4,4,43.95,2017,"A very classy and compelling wine. Deeply coloured with a pure, intense bouquet of crushed fruits, spice and oak. Elegant oak aging enhances the wine’s complexity and class.",,https://www.alliancewine.com//images/products/BOTTLE_1716.png?mode=pad
3887,"Bodegas Amaren, Tempranillo Reserva, DOCa Rioja, Spain",Red Wine,Spain,DOCa Rioja,Tempranillo ,4,4,43.95,2010,"Cherry red tones with a bright robe. Fine, elegant and complex on the nose with good concentration of black fruit, subtle touches of creamy oak as well as hints of roasted coffee and minerals. Ample and fresh with elegance, complexity and power. This wine shows black fruit jam and liquorice; firm structure and a delicious and persistent finish",,https://www.alliancewine.com//images/products/BOTTLE_3003.png?mode=pad
3886,"Stella Bella, Suckfizzle Chardonnay, Margaret River, Australia",White Wine,Australia,Margaret River,Chardonnay ,4,3,42.95,2019,"The prevailing Antarctic winds create distinction and character in this wine. Salty, sea-sprayed fruit contributes to a unique and complex oyster shell character. White nectarine, grapefruit pith, lime rind and smoky oak round out the generous nose. Incredible power of fruit. Textured and mouthwatering, there is obvious chemistry between the fruit and the oak. Flavours of crushed lime, lemon and sea salt. Lively mineral acidity and layered texture. Pure, powerful and unparalleled Chardonnay.",,https://www.alliancewine.com//images/products/BOTTLE_3802.png?mode=pad
3885,"Il Borghetto, Bilaccio IGP, Tuscany, Italy",Red Wine,Italy,Tuscany,Sangiovese ,0,0,41.95,2016,"100% Sangiovese, this is a seductive wine. Sweet tobacco, dried herb, mint and dried red cherry notes are all laced together in this decidedly savoury wine. Delicate and lithe on the palate, open-knit and gracious, Bilaccio is a good example of Il Borgetto's distinctive house style.",,https://www.alliancewine.com//images/products/BOTTLE_3603.png?mode=pad
3884,"Il Borghetto, Bilaccio IGP, Tuscany, Italy",Red Wine,Italy,Tuscany,Sangiovese ,0,0,41.95,2015,"100% Sangiovese, this is a seductive wine. Sweet tobacco, dried herb, mint and dried red cherry notes are all laced together in this decidedly savoury wine. Delicate and lithe on the palate, open-knit and gracious, Bilaccio is a good example of Il Borgetto's distinctive house style.",,https://www.alliancewine.com//images/products/BOTTLE_3603.png?mode=pad
3883,"Domaine Francois Crochet, Sancerre Rouge, Resérve de Marcigoué, Loire, France",Red Wine,France,Loire,Pinot Noir ,2,4,40.95,2019,"A very complex, rounded and velvety wine with lashings of cranberries, raspberries and soft smoky flavours.",,https://www.alliancewine.com//images/products/BOTTLE_1342.png?mode=pad
3882,"Domaine Francois Crochet, Sancerre Rouge, Resérve de Marcigoué, Loire, France",Red Wine,France,Loire,Pinot Noir ,2,4,40.95,2018,"A very complex, rounded and velvety wine with lashings of cranberries, raspberries and soft smoky flavours.",,https://www.alliancewine.com//images/products/BOTTLE_1342.png?mode=pad
3881,"Château Haut- Baradieu, Saint Estèphe, Bordeaux, France",Red Wine,France,Bordeaux," Cabernet Sauvignon , Merlot ",3,4,40.95,2011,"This Saint-Estèphe has a reticent nose with touches of black olive and graphite. The soft supple palate shows fleshy black fruits and licks of toasty oak. Very well balanced and full of charm and complexity.
",,https://www.alliancewine.com//media/za5bqnhq/no-bottle-shot_66x228.pn
3880,"Klur Natur, Il Y A De l'or..dans l'air, Alsace, France",White Wine,France,Alsace," Gewürztraminer , Muscat ",4,2,40.95,2019,"This orange wine has an intense nose packed full of flora like rose petals, lychee with grip sitting in the background. Full and long in the mouth.",,https://www.alliancewine.com//images/products/BOTTLE_3490.png?mode=pad
3879,"Klur Natur, Il Y A De l'or..dans l'air, Alsace, France",White Wine,France,Alsace," Gewürztraminer , Muscat ",4,2,40.95,2017,"This orange wine has an intense nose packed full of flora like rose petals, lychee with grip sitting in the background. Full and long in the mouth.",,https://www.alliancewine.com//images/products/BOTTLE_3490.png?mode=pad
3878,"Guillaume Gonnet, Châteauneuf-du-Pape Rouge Bel Ami, Southern Rhône, France",Red Wine,France,Rhône," Syrah , Grenache ",4,4,40.95,2019,"A red and black fruit bouquet, of cherries and blackberries, a hint of garrigue, liquorice and spice. A fine wine. This wine will open up beautifully if decantered at least 1 hour before serving.",,https://www.alliancewine.com//images/products/BOTTLE_2692.png?mode=pad
3877,"Guillaume Gonnet, Châteauneuf-du-Pape Rouge Bel Ami, Southern Rhône, France",Red Wine,France,Rhône," Syrah , Grenache ",4,4,40.95,2017,"A red and black fruit bouquet, of cherries and blackberries, a hint of garrigue, liquorice and spice. A fine wine. This wine will open up beautifully if decantered at least 1 hour before serving.",,https://www.alliancewine.com//images/products/BOTTLE_2692.png?mode=pad
3876,"Guillaume Gonnet, Châteauneuf-du-Pape Blanc, Belle Amie, Southern Rhône, France",White Wine,France,Rhône," Rousanne ,  Clairette , Grenache ",0,0,40.95,2020,"Gorgeous stony, mineral notes, citrus, and white flowers.  With age, the wine develops honey, nutty aromas.",,https://www.alliancewine.com//images/products/BOTTLE_2488.png?mode=pad
3875,"Guillaume Gonnet, Châteauneuf-du-Pape Blanc, Belle Amie, Southern Rhône, France",White Wine,France,Rhône," Rousanne ,  Clairette , Grenache ",0,0,40.95,2019,"Gorgeous stony, mineral notes, citrus, and white flowers.  With age, the wine develops honey, nutty aromas.",,https://www.alliancewine.com//images/products/BOTTLE_2488.png?mode=pad
3874,"Domaine des Baumard, Savennières, Clos du Papillon, Loire, France",White Wine,France,Loire,Chenin Blanc ,4,4,40.95,2015,"Aromas of pear, almond and white flowers greet us on the nose.  The palate is rich with citrus, papaya and ripe exotic fruits.  There is a touch of mango and tangerine zest alongside a stony  minerality.  An impressive concentration with a firm acid backbone give the wine perfect balance. ",,https://www.alliancewine.com//images/products/BOTTLE_1153.png?mode=pad
3873,"Yacoubian Hobbs, Areni, Rind, Vayots Dzor, Armenia",Red Wine,Armenia,Vayots Dzor,Areni ,0,0,39.95,2016,"Expressive aromas of red berries and black cherries, followed by floral notes of lilacs and hint of minerality. The palate is both intense and elegant. A ripe and powerful tannic structure and refreshing acidity bring balance to the fruit flavors, culminating in a complex yet harmonious finish.",,-
3872,"Abel Mendoza, Blanco 5 Varietals, DOCa Rioja, Spain",White Wine,Spain,DOCa Rioja," Tempranillo Blanco  Torrontés: ,  Garnacha Blanco ,  Viura , Malvasia ",0,0,39.95,2020,"The nose is quite complex, with notes of smoke, yellow and white fruits, white flowers and balsamic aromas. The compact palate shows power as well as plenty of well-integrated oak.",,https://www.alliancewine.com//images/products/BOTTLE_2088.png?mode=pad
3871,"Abel Mendoza, Blanco 5 Varietals, DOCa Rioja, Spain",White Wine,Spain,DOCa Rioja," Tempranillo Blanco  Torrontés: ,  Garnacha Blanco ,  Viura , Malvasia ",0,0,39.95,2019,"The nose is quite complex, with notes of smoke, yellow and white fruits, white flowers and balsamic aromas. The compact palate shows power as well as plenty of well-integrated oak.",,https://www.alliancewine.com//images/products/BOTTLE_2088.png?mode=pad
3870,"Abel Mendoza, Blanco 5 Varietals, DOCa Rioja, Spain",White Wine,Spain,DOCa Rioja," Torrontés  ,  Tempranillo Blanco ,  Garnacha Blanco ,  Malvasia , Viura ",3,3,39.95,2018,"The nose is quite complex, with notes of smoke, yellow and white fruits, white flowers and balsamic aromas. The compact palate shows power as well as plenty of well-integrated oak.",,https://www.alliancewine.com//images/products/BOTTLE_2088.png?mode=pad
3869,"Klur Natur, Air De Famille, Alsace, France",Red Wine,France,Alsace,Pinot Noir ,3,4,39.95,2019,"A dark ruby colour this natural wine has bright red cherry fruit flavours, delicate tannins and beautiful length.",,https://www.alliancewine.com//images/products/BOTTLE_3489.png?mode=pad
3868,"Klur Natur, Air De Famille, Alsace, France",Red Wine,France,Alsace,Pinot Noir ,3,4,39.95,2018,"A dark ruby colour this natural wine has bright red cherry fruit flavours, delicate tannins and beautiful length.",,https://www.alliancewine.com//images/products/BOTTLE_3489.png?mode=pad
3867,"Bodegas Ximénez Spínola, Fermentacion Lenta, Jerez, Spain",White Wine,Spain,Jerez,Pedro Ximénez ,0,0,39.95,2018,"A clean gold colour with green highlights. The nose is marked by the French oak, which accentuates the raisin and prune aromas. A soft palate despite the high alcohol and a pleasant finish of ripe fruit and oak",,https://www.alliancewine.com//images/products/BOTTLE_2755.png?mode=pad
3866,"Bodegas Ximénez Spínola, Fermentacion Lenta, Jerez, Spain",White Wine,Spain,Jerez,Pedro Ximénez ,0,0,39.95,2019,"A clean gold colour with green highlights. The nose is marked by the French oak, which accentuates the raisin and prune aromas. A soft palate despite the high alcohol and a pleasant finish of ripe fruit and oak",,https://www.alliancewine.com//images/products/BOTTLE_2755.png?mode=pad
3865,"Celler de Capçanes, Peraj Ha'abib (Kosher), DO Montsant, Spain",Red Wine,Spain,Catalunya," Cabernet Sauvignon ,  Grenache , Carignan ",5,4,39.95,2017,"Dark, full red yet vibrant colour. Bright aromas of cherry, plums, currant and toasty, coffee, mocha nuances. Complex but elegant, full-bodied, ripe but soft tannins and ripe sweetness on the finish. Well balanced acidity and  mineral character with an serious ageing potential.",,https://www.alliancewine.com//images/products/BOTTLE_1736.png?mode=pad
3864,"Domaine Francois Crochet, Sancerre, Chêne Marchand, Loire, France",White Wine,France,Loire,Sauvignon Blanc ,2,4,39.95,2020,"A very fresh, pure and aromatic wine. This Sancerre is complex and concentrated with gooseberry, blackcurrant leaf and hints of honey overlaid with minerality and held tightly by a core of acidity. The finish is elegant and long with flint and ripe apple leaving a lasting impression.",,https://www.alliancewine.com//images/products/BOTTLE_2033.png?mode=pad
3863,"Domaine Francois Crochet, Sancerre, Chêne Marchand, Loire, France",White Wine,France,Loire,Sauvignon Blanc ,2,4,39.95,2019,"A very fresh, pure and aromatic wine. This Sancerre is complex and concentrated with gooseberry, blackcurrant leaf and hints of honey overlaid with minerality and held tightly by a core of acidity. The finish is elegant and long with flint and ripe apple leaving a lasting impression.",,https://www.alliancewine.com//images/products/BOTTLE_2033.png?mode=pad
3862,"Domaine Francois Crochet, Sancerre, Chêne Marchand, Loire, France",White Wine,France,Loire,Sauvignon Blanc ,2,4,39.95,2018,"A very fresh, pure and aromatic wine. This Sancerre is complex and concentrated with gooseberry, blackcurrant leaf and hints of honey overlaid with minerality and held tightly by a core of acidity. The finish is elegant and long with flint and ripe apple leaving a lasting impression.",,https://www.alliancewine.com//images/products/BOTTLE_2033.png?mode=pad
3861,"Paul Hobbs, Crossbarn Pinot Noir, Sonoma Coast, California, USA",Red Wine,United States of America,California,Pinot Noir ,3,4,38.95,2019,"Bright ruby in colour and scented with inviting notes of bergamot, fresh blueberry, and red clay combine with invigorating acidity as it evolves across the palate, ending with the power and grace that’s in character with its coastal influences.",,https://www.alliancewine.com//images/products/BOTTLE_8138.png?mode=pad
3860,"Paul Hobbs, Crossbarn Pinot Noir, Sonoma Coast, California, USA",Red Wine,United States of America,California,Pinot Noir ,3,4,38.95,2018,"Bright ruby in colour and scented with inviting notes of bergamot, fresh blueberry, and red clay combine with invigorating acidity as it evolves across the palate, ending with the power and grace that’s in character with its coastal influences.",,https://www.alliancewine.com//images/products/BOTTLE_8138.png?mode=pad
3859,"Iona, Kroon Pinot Noir, Elgin, South Africa",Red Wine,South Africa,Elgin,Pinot Noir ,3,3,38.95,2017,This is a generous and voluptuous Pinot with charming velvety tannins.,,https://www.alliancewine.com//images/products/BOTTLE_3931.png?mode=pad
3858,"Iona, Kloof Pinot Noir, Elgin, South Africa",Red Wine,South Africa,Elgin,Pinot Noir ,3,3,38.95,2017,"The terroir has produced a chalky, linear and austere  Pinot with razor sharp acidity.",,https://www.alliancewine.com//images/products/BOTTLE_3930.png?mode=pad
3857,"Iona, Fynbos Chardonnay, Elgin, South Africa",White Wine,South Africa,Elgin,Chardonnay ,3,3,38.95,2017,"The Fynbos Vineyard has well drained soils that are rich in clay and with the north facing slope
results in a rich, generous wine.",,https://www.alliancewine.com//images/products/BOTTLE_3929.png?mode=pad
3856,"Iona, Kloof Chardonnay, Elgin, South Africa",White Wine,South Africa,Elgin,Chardonnay ,3,3,38.95,2017,"The wine from the Kloof Vineyard is totally unique to South Africa. It is chalky, linear and austere with razor sharp focussed acidity. The Kloof Vineyard will make wine with significant ageing potential.",,https://www.alliancewine.com//images/products/BOTTLE_3928.png?mode=pad
3855,"Cascina Adelaide, Barolo, DOCG, Piedmont, Italy",Red Wine,Italy,Piedmont,Nebbiolo ,4,3,38.95,2015,"A superb Barolo, with aromas of orange skin, plums, and Tobacco leaves. Tannins are vibrant and acidity is plentiful making this a wine with some aging potential. ",,https://www.alliancewine.com//images/products/BOTTLE_3090.png?mode=pad
3854,"Stella Bella, Suckfizzle Cabernet Sauvignon, Margaret River, Australia",Red Wine,Australia,Margaret River,Cabernet Sauvignon ,4,4,38.95,2016,"Upfront raspberry, cranberry & cherry lift out of the glass. The nose opens with bramble berries, black currant and a violets. Hints of freshly dried herbs with subtle vanilla notes. Completed by a unique mineral sea spray and nori element from the Southern Ocean. Brimming with fresh red berries and sweet cherries. The plate is extremely precise, poised and medium bodied; reflecting the unique Suckfizzle site. Persistence of flavour is remarkable. Fine gravelly shaped tannins drive the palate and creates a silky finish.",,https://www.alliancewine.com//images/products/BOTTLE_2945.png?mode=pad
